movie_id,average_rating,Number_of_votes,title,original_title,start_year,runtime_minutes,studio,domestic_gross_x,foreign_gross,year,total_gross,production_budget,domestic_gross_y,worldwide_gross,ROI,genres
tt1719071,6.0,3793,Another Happy Day,Another Happy Day,2011,119.0,P4,8500.0,347000,2011,355500.0,4000000,9120,978527,-3021473,Comedy
tt1719071,6.0,3793,Another Happy Day,Another Happy Day,2011,119.0,P4,8500.0,347000,2011,355500.0,4000000,9120,978527,-3021473,Drama
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,40000000,63686397,136123083,96123083,Action
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,40000000,63686397,136123083,96123083,Mystery
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,40000000,63686397,136123083,96123083,Thriller
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,3700000,26403,3355048,-344952,Action
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,3700000,26403,3355048,-344952,Mystery
tt1401152,6.9,235167,Unknown,Unknown,2011,113.0,WB,63700000.0,67099999,2011,130799999.0,3700000,26403,3355048,-344952,Thriller
tt2402731,6.9,14,Unknown,Unknown,2012,96.0,WB,63700000.0,67099999,2011,130799999.0,40000000,63686397,136123083,96123083,Drama
tt2402731,6.9,14,Unknown,Unknown,2012,96.0,WB,63700000.0,67099999,2011,130799999.0,3700000,26403,3355048,-344952,Drama
tt1402488,5.9,38396,Happy Feet Two,Happy Feet Two,2011,100.0,WB,64000000.0,86400000,2011,150400000.0,135000000,64006466,157956466,22956466,Adventure
tt1402488,5.9,38396,Happy Feet Two,Happy Feet Two,2011,100.0,WB,64000000.0,86400000,2011,150400000.0,135000000,64006466,157956466,22956466,Animation
tt1402488,5.9,38396,Happy Feet Two,Happy Feet Two,2011,100.0,WB,64000000.0,86400000,2011,150400000.0,135000000,64006466,157956466,22956466,Comedy
tt1219289,7.4,492490,Limitless,Limitless,2011,105.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Mystery
tt1219289,7.4,492490,Limitless,Limitless,2011,105.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Sci-Fi
